"","grCat","grSum","spCat","genspDf$spCat"
"274","club",1,"Stylophora (100%)","Stylophora pistillata (100%)"
"275","column th",1,"Isopora (100%)","Isopora palifera (100%)"
"276","column thick/branching stout",1,"Isopora (100%)","Isopora palifera (100%)"
"277","column/branching thick",1,"Stylophora (100%)","Stylophora pistillata (100%)"
"278","column/massive?",1,"Pavona (100%)","Pavona clavus (100%)"
"279","column/submassive",1,"Porites (100%)","Porites vaughani (100%)"
"280","corymbose:No photo",1,"Acropora (100%)","Acropora NA (100%)"
"281","corymbose/branching medium?",1,"Acropora (100%)","Acropora NA (100%)"
"282","corymbose/vase",1,"Acropora (100%)","Acropora digitifera (100%)"
"283","corymbose/vase (young?)",1,"Acropora (100%)","Acropora NA (100%)"
"284","digitate",0,"NA (NA%):  (%)","NA NA (100%)"
"285","digitate medium/plate",1,"Acropora (100%)","Acropora digitifera (100%)"
"286","digitate medium/vase",1,"Acropora (100%)","Acropora digitifera (100%)"
"287","digitate?",1,"Acropora (100%)","Acropora NA (100%)"
"288","digitate?/plate",1,"Acropora (100%)","Acropora NA (100%)"
"289","digitate?/vase",1,"Acropora (100%)","Acropora gemmifera (100%)"
"290","digitate/encrusting/plate",1,"Porites (100%)","Porites NA (100%)"
"291","digitate/plate (w/fingers)",0,"NA (NA%):  (%)","NA NA (100%)"
"292","digitate/plate/vase",0,"NA (NA%):  (%)","NA NA (100%)"
"293","encrusting ",1,"Porites (100%)","Porites NA (100%)"
"294","encrusting at edges/massive",1,"Montipora (100%)","Montipora grisea (100%)"
"295","encrusting thick?",1,"Favites (100%)","Favites NA (100%)"
"296","encrusting thick/submassive",1,"Favites (100%)","Favites halicora (100%)"
"297","encrusting?/frond?",1,"Pavona (100%)","Pavona explanulata (100%)"
"298","encrusting/frond",1,"Stylophora (100%)","Stylophora pistillata (100%)"
"299","encrusting/knobs/massive",1,"Porites (100%)","Porites NA (100%)"
"300","encrusting/laminar",1,"Porites (100%)","Porites NA (100%)"
"301","encrusting/laminar?",1,"Porites (100%)","Porites NA (100%)"
"302","fasciculate",1,"Galaxea (100%)","Galaxea NA (100%)"
"303","fasciculate/plate",1,"Galaxea (100%)","Galaxea NA (100%)"
