"","grCat","grSum","spCat","genspDf$spCat"
"62","No photo :No photo ",9,"Acropora (88.9%): Isopora (11.1%)","Acropora NA (60%): Acropora cytherea (20%): Isopora palifera (10%): NA NA (10%)"
"63","blade/column thick",9,"Isopora (100%)","Isopora palifera (100%)"
"64","column thick",9,"Isopora (88.9%): Stylophora (11.1%)","Isopora palifera (88.9%): Stylophora pistillata (11.1%)"
"65","encrusting?",5,"Acropora (20%): Goniopora (20%): Leptoria (20%): Montipora (20%): Psammocora (20%)","NA NA (44.4%): Acropora NA (11.1%): Goniopora NA (11.1%): Leptoria phrygia (11.1%): Montipora NA (11.1%): Psammocora profoundacella (11.1%)"
"66","frond open bush",9,"Stylophora (100%)","Stylophora pistillata (100%)"
"67","massive/plate",5,"Montipora (80%): Favia (20%)","NA NA (44.4%): Montipora NA (33.3%): Favia NA (11.1%): Montipora turgescens (11.1%)"
"68","branching bush thick",8,"Acropora (100%)","Acropora NA (87.5%): Acropora robusta (12.5%)"
"69","No photo:No photo",8,"Acropora (87.5%): Isopora (12.5%)","Acropora NA (62.5%): Acropora cytherea (12.5%): Acropora robusta (12.5%): Isopora palifera (12.5%)"
"70","blade/branching stout/frond",7,"Isopora (100%)","Isopora palifera (100%)"
"71","blade/frond",7,"Isopora (57.1%): Stylophora (42.9%)","Isopora palifera (57.1%): Stylophora pistillata (42.9%)"
"72","branching medium-th",4,"Acropora (50%): Pocillopora (50%)","NA NA (42.9%): Acropora NA (28.6%): Pocillopora damicornis (28.6%)"
"73","bush/frond",6,"Stylophora (66.7%): Pocillopora (33.3%)","Stylophora pistillata (57.1%): Pocillopora verrucosa (28.6%): NA NA (14.3%)"
"74","column/frond",6,"Stylophora (66.7%): Isopora (33.3%)","Stylophora pistillata (57.1%): Isopora palifera (28.6%): NA NA (14.3%)"
"75","encrusting/plate",6,"Montipora (50%): Porites (33.3%): Acropora (16.7%)","Acropora NA (14.3%): Montipora corbettensis (14.3%): Montipora NA (14.3%): Montipora turgescens (14.3%): NA NA (14.3%): Porites lichen (14.3%): Porites NA (14.3%)"
"76","frond/plate",5,"Isopora (80%): Porites (20%)","Isopora palifera (57.1%): NA NA (28.6%): Porites vaughani (14.3%)"
"77","massive/phaceloid",7,"Lobophyllia (100%)","Lobophyllia NA (85.7%): Lobophyllia corymbosa (14.3%)"
"78","phaceloid/sheet multi-level",7,"Galaxea (100%)","Galaxea fascicularis (100%)"
"79","boxwork/branching medium",5,"Pocillopora (60%): Porites (40%)","Pocillopora damicornis (50%): Porites NA (33.3%): NA NA (16.7%)"
"80","branching bush tight thin",6,"Seriatopora (66.7%): Pocillopora (33.3%)","Seriatopora hystrix (66.7%): Pocillopora damicornis (33.3%)"
"81","branching medium?",6,"Acropora (83.3%): Cyphastrea (16.7%)","Acropora NA (83.3%): Cyphastrea NA (16.7%)"
"82","table",6,"Acropora (100%)","Acropora clathrata (83.3%): Acropora NA (16.7%)"
"83","blade/branching",4,"Acropora (25%): Isopora (25%): Pocillopora (25%): Stylophora (25%)","Acropora NA (20%): Isopora palifera (20%): NA NA (20%): Pocillopora NA (20%): Stylophora pistillata (20%)"
"84","branching arborescent thick",5,"Acropora (100%)","Acropora NA (80%): Acropora robusta (20%)"
"85","branching bush thin",5,"Acropora (40%): Pocillopora (40%): Seriatopora (20%)","Acropora NA (40%): Pocillopora damicornis (40%): Seriatopora hystrix (20%)"
"86","branching bush tight medium",5,"Pocillopora (100%)","Pocillopora damicornis (100%)"
"87","branching medium/frond",5,"Pocillopora (60%): Stylophora (40%)","Pocillopora verrucosa (60%): Stylophora pistillata (40%)"
"88","branching/vase",3,"Acropora (66.7%): Montipora (33.3%)","NA NA (40%): Acropora digitifera (20%): Acropora NA (20%): Montipora NA (20%)"
"89","caespitose:caespitose",4,"Acropora (100%)","Acropora NA (80%): NA NA (20%)"
"90","frond ",5,"Galaxea (40%): Isopora (40%): Stylophora (20%)","Isopora palifera (40%): Galaxea astreata (20%): Galaxea NA (20%): Stylophora pistillata (20%)"
"91","sheet multi-level",5,"Galaxea (100%)","Galaxea fascicularis (80%): Galaxea astreata (20%)"
"92","arborescent",4,"Acropora (100%)","Acropora NA (100%)"
"93","branching bush dense",3,"Isopora (100%)","Isopora palifera (75%): NA NA (25%)"
"94","branching bush tight thin-medium",4,"Pocillopora (100%)","Pocillopora damicornis (100%)"
"95","branching stout/vase",3,"Acropora (66.7%): Alveopora (33.3%)","Acropora humilis (25%): Acropora NA (25%): Alveopora NA (25%): NA NA (25%)"
"96","branching/plate?",3,"Acropora (100%)","Acropora NA (75%): NA NA (25%)"
"97","column bush open/frond",4,"Stylophora (100%)","Stylophora pistillata (100%)"
"98","column/encrusting",4,"Cyphastrea (50%): Favia (25%): Porites (25%)","Cyphastrea microphthalma (50%): Favia NA (25%): Porites NA (25%)"
"99","corymbose/plate",4,"Acropora (100%)","Acropora NA (75%): Acropora cytherea (25%)"
"100","encrusting/base",4,"Isopora (100%)","Isopora palifera (100%)"
"101","massive?",2,"Dipsastraea (50%): Lobophyllia (50%)","NA NA (50%): Dipsastraea heliopora (25%): Lobophyllia NA (25%)"
"102","phaceloid?",3,"Lobophyllia (66.7%): Galaxea (33.3%)","Lobophyllia NA (50%): Galaxea fascicularis (25%): NA NA (25%)"
"103","plate thick?",3,"Acropora (100%)","Acropora digitifera (25%): Acropora hyacinthus (25%): Acropora NA (25%): NA NA (25%)"
"104","plate thin",4,"Acropora (100%)","Acropora NA (50%): Acropora cytherea (25%): Acropora hyacinthus (25%)"
"105","arborescent :arborescent ",3,"Acropora (100%)","Acropora NA (100%)"
"106","arborescent/branching",3,"Acropora (100%)","Acropora intermedia (66.7%): Acropora robusta (33.3%)"
"107","blade thick",3,"Isopora (100%)","Isopora palifera (66.7%): Isopora cuneata (33.3%)"
"108","blade?",3,"Isopora (66.7%): Acropora (33.3%)","Isopora palifera (66.7%): Acropora NA (33.3%)"
"109","blade/blade base",3,"Isopora (100%)","Isopora palifera (100%)"
"110","blade/encrusting",2,"Isopora (100%)","Isopora palifera (66.7%): NA NA (33.3%)"
"111","bottlebrush/branching",2,"Acropora (50%): Galaxea (50%)","Acropora selago (33.3%): Galaxea fascicularis (33.3%): NA NA (33.3%)"
"112","branching bush dense thick",1,"Acropora (100%)","NA NA (66.7%): Acropora NA (33.3%)"
"113","branching bush fine tight",3,"Acropora (100%)","Acropora selago (100%)"
"114","branching bush medium tight",3,"Acropora (100%)","Acropora NA (100%)"
"115","branching bush medium?",2,"Acropora (100%)","Acropora NA (66.7%): NA NA (33.3%)"
"116","branching bush open thick",2,"Pocillopora (50%): Stylophora (50%)","NA NA (33.3%): Pocillopora damicornis (33.3%): Stylophora pistillata (33.3%)"
"117","branching bush tight",3,"Acropora (100%)","Acropora NA (100%)"
"118","branching stout/massive",3,"Stylophora (66.7%): Pocillopora (33.3%)","Stylophora pistillata (66.7%): Pocillopora damicornis (33.3%)"
"119","branching?",3,"Acropora (100%)","Acropora NA (66.7%): Acropora gemmifera (33.3%)"
"120","branching/bush/frond",3,"Pocillopora (66.7%): Porites (33.3%)","Pocillopora grandis (33.3%): Pocillopora NA (33.3%): Porites nigrescens (33.3%)"
"121","branching/corymbose",3,"Acropora (100%)","Acropora NA (100%)"
"122","branching/encrusting",2,"Acropora (50%): Porites (50%)","Acropora NA (33.3%): NA NA (33.3%): Porites NA (33.3%)"
"123","branching/massive",2,"Porites (50%): Stylocoeniella (50%)","NA NA (33.3%): Porites annae (33.3%): Stylocoeniella armata (33.3%)"
"124","corymbose?",3,"Acropora (100%)","Acropora NA (100%)"
"125","digitate/plate?",2,"Acropora (100%)","Acropora NA (66.7%): NA NA (33.3%)"
"126","encrusting/sheet",2,"Cyphastrea (50%): Galaxea (50%)","Cyphastrea NA (33.3%): Galaxea fascicularis (33.3%): NA NA (33.3%)"
"127","laminar",2,"Montipora (50%): Porites (50%)","Montipora NA (33.3%): NA NA (33.3%): Porites lichen (33.3%)"
"128","sheet thin",3,"Isopora (66.7%): Porites (33.3%)","Isopora palifera (66.7%): Porites lichen (33.3%)"
"129","wrong intercept:wrong intercept",3,"Acropora (100%)","Acropora NA (100%)"
"130","base",2,"Isopora (100%)","Isopora palifera (100%)"
"131","blade ",1,"Isopora (100%)","Isopora palifera (50%): NA NA (50%)"
"132","blade/plate?",2,"Acropora (100%)","Acropora cytherea (50%): Acropora NA (50%)"
"133","branching arborescent bush medium ",2,"Acropora (100%)","Acropora NA (100%)"
"134","branching arborescent bush medium?",1,"Acropora (100%)","Acropora NA (50%): NA NA (50%)"
"135","branching arborescent open medium",2,"Acropora (100%)","Acropora robusta (100%)"
"136","branching bottlebrush",2,"Acropora (100%)","Acropora NA (100%)"
"137","branching bush dense medium",1,"Acropora (100%)","Acropora NA (50%): NA NA (50%)"
"138","branching bush open stout",2,"Stylophora (100%)","Stylophora pistillata (100%)"
"139","branching bush thicket",2,"Acropora (100%)","Acropora NA (100%)"
"140","branching bush/plate",2,"Acropora (100%)","Acropora digitifera (50%): Acropora NA (50%)"
"141","branching fine-medium",2,"Acropora (100%)","Acropora NA (100%)"
"142","branching irregular thin-medium",2,"Hydnophora (100%)","Hydnophora exesa (100%)"
"143","branching medium?/plate?/vase?",2,"Acropora (100%)","Acropora NA (100%)"
"144","branching medium/plate",1,"Acropora (100%)","Acropora NA (50%): NA NA (50%)"
"145","branching stout-thick",2,"Acropora (100%)","Acropora NA (100%)"
"146","branching thick medium",2,"Acropora (100%)","Acropora NA (100%)"
"147","branching thick/frond",2,"Stylophora (100%)","Stylophora pistillata (100%)"
"148","bush?/base",2,"Acropora (100%)","Acropora NA (100%)"
"149","club/frond",2,"Stylophora (100%)","Stylophora pistillata (100%)"
"150","column?",2,"Porites (50%): Psammocora (50%)","Porites NA (50%): Psammocora digitata (50%)"
"151","column/base",2,"Lobophyllia (50%): Porites (50%)","Lobophyllia hemprichii (50%): Porites annae (50%)"
"152","column/branching stout",2,"Isopora (50%): Stylophora (50%)","Isopora palifera (50%): Stylophora pistillata (50%)"
"153","digitate/vase?",2,"Acropora (100%)","Acropora NA (100%)"
"154","encrusting base/branching stout",2,"Isopora (100%)","Isopora palifera (100%)"
"155","encrusting multi-level",2,"Leptoria (50%): Porites (50%)","Leptoria phrygia (50%): Porites NA (50%)"
"156","encrusting/sheet?",1,"Cyphastrea (100%)","Cyphastrea microphthalma (50%): NA NA (50%)"
"157","frond small",2,"Pocillopora (100%)","Pocillopora damicornis (50%): Pocillopora verrucosa (50%)"
"158","frond thick",2,"Stylophora (100%)","Stylophora pistillata (100%)"
"159","plate thick/vase",2,"Acropora (100%)","Acropora NA (100%)"
"160","plate:plate",2,"Montipora (100%)","Montipora NA (100%)"
"161","plate/sheet",1,"Porites (100%)","NA NA (50%): Porites annae (50%)"
"162","plate/whorl",2,"Acropora (100%)","Acropora hyacinthus (100%)"
"163","sheet/whorl",2,"Lobophyllia (50%): Pavona (50%)","Lobophyllia NA (50%): Pavona NA (50%)"
"164","Wrong intercept or transect:Wrong intercept or transect",2,"Acropora (100%)","Acropora NA (100%)"
"165","Wrong photo:Wrong photo",2,"Acropora (100%)","Acropora hyacinthus (50%): Acropora NA (50%)"
"166","arborescent table :arborescent table ",1,"Acropora (100%)","Acropora NA (100%)"
"167","blade base",1,"Isopora (100%)","Isopora palifera (100%)"
"168","blade stout/frond",1,"Stylophora (100%)","Stylophora pistillata (100%)"
"169","blade/base",1,"Isopora (100%)","Isopora palifera (100%)"
"170","blade/branching stout/column",1,"Isopora (100%)","Isopora palifera (100%)"
"171","blade/branching thin",1,"Isopora (100%)","Isopora palifera (100%)"
"172","blade/bush",1,"Pocillopora (100%)","Pocillopora verrucosa (100%)"
"173","blade/column thin",1,"Isopora (100%)","Isopora palifera (100%)"
"174","bottlebrush",0,"NA (NA%):  (%)","NA NA (100%)"
"175","bottlebrush?/branching",1,"Acropora (100%)","Acropora NA (100%)"
"176","boxwork/branching thin",1,"Seriatopora (100%)","Seriatopora hystrix (100%)"
"177","boxwork/branching thin-medium",1,"Pocillopora (100%)","Pocillopora damicornis (100%)"
"178","branching  ",1,"Pocillopora (100%)","Pocillopora damicornis (100%)"
"179","branching (bifrucating)/plate",1,"Acropora (100%)","Acropora digitifera (100%)"
"180","branching arborescent bush",1,"Acropora (100%)","Acropora NA (100%)"
"181","branching arborescent bush thick",1,"Acropora (100%)","Acropora NA (100%)"
"182","branching arborescent open stout-thick",1,"Acropora (100%)","Acropora robusta (100%)"
"183","branching bush (vase shaped)",0,"NA (NA%):  (%)","NA NA (100%)"
"184","branching bush arborescent open stout",1,"Acropora (100%)","Acropora robusta (100%)"
"185","branching bush dense small",1,"Acropora (100%)","Acropora NA (100%)"
"186","branching bush dense stout",0,"NA (NA%):  (%)","NA NA (100%)"
"187","branching bush dense stout tight",1,"Pocillopora (100%)","Pocillopora damicornis (100%)"
"188","branching bush dense thin",0,"NA (NA%):  (%)","NA NA (100%)"
