"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date):localityBonah River",1.00001881695384,1.0000352761843,0.376337179686791,0.539597656348616
"s(pred.date):localityKilasairo River NW",1.794404554064,1.95739604510358,6.2096111564023,0.0414186170555889
"s(pred.date):localityKilasairo River SE",1.00004290273475,1.00008575353416,0.102824388484333,0.748523036962495
"s(pred.date):localityKwambu Platforms",1.00003224839727,1.00006447705446,1.20754649474512,0.271779720355329
"s(pred.date):localityLoto Beach",1.00004210788308,1.00008418781564,0.0903051437994552,0.763847987443539
"s(pred.date):localityMidway Cove",1.000041969597,1.00008386414757,7.9041222063546,0.00493591158538725
"s(pred.date):localityNW Point",1.29363888515511,1.50099488733683,3.98065786056067,0.1899755835014
"s(pred.date):localityParadise Springs",1.2937107190968,1.46755889104511,0.551919217466813,0.538724222209352
"s(pred.date):localityPukau NW",1.00012054627707,1.00021684720074,5.63924217877853,0.0175838711783563
"s.1(pred.date):localityBonah River",1.91737784310731,1.99294227537888,13.8608705530733,0.00102630983730462
"s.1(pred.date):localityKilasairo River NW",1.00009995996009,1.00017744111301,0.143148961411551,0.705362236145086
"s.1(pred.date):localityKilasairo River SE",1.00000106188149,1.00000212174535,0.00404550455682846,0.949291102693044
"s.1(pred.date):localityKwambu Platforms",1.00003391456365,1.00006781096659,1.23915264364506,0.265604989305404
"s.1(pred.date):localityLoto Beach",1.00003118882768,1.00006235652504,0.0255226747881302,0.873113013482189
"s.1(pred.date):localityMidway Cove",1.00004560785367,1.00009110893491,2.97414557575315,0.0846396772566032
"s.1(pred.date):localityNW Point",1.00004425553934,1.00008101355139,3.1292839570934,0.0769261412013924
"s.1(pred.date):localityParadise Springs",1.83566736598724,1.93939992895123,8.45289312395977,0.0304627546118259
"s.1(pred.date):localityPukau NW",1.36743627332514,1.59929227595967,14.35935831605,0.00143201481982819
