"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date)",2.26736787323643,2.76685383835208,7.59419014667473,0.0323406322967041
"s(site,locality):dummy",6.98201996358175,8,60.1514681515392,0
"s.1(pred.date)",1.60990514643381,1.96623568179044,44.26021400169,0
"s.1(site,locality):dummy",2.49402259728192,8,5.12291607220753,0.163683886599944
