"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date):localityBonah River",1.00006606821781,1.00013197142153,0.956272403390353,0.328142294949022
"s(pred.date):localityKilasairo River NW",1.00004039580858,1.00007803926645,5.99478189079114,0.0143472588075612
"s(pred.date):localityKilasairo River SE",1.00003679139514,1.00007354933207,0.509817083373701,0.475246429457001
"s(pred.date):localityKwambu Platforms",1.92655362218517,2.03099717363306,8.29938723261826,0.0114389856194601
"s(pred.date):localityLoto Beach",1.00002239213138,1.00004346823643,0.81335667905861,0.367173369806141
"s(pred.date):localityMidway Cove",1.00000040779002,1.00000079346668,1.96581047493376,0.160895433909337
"s(pred.date):localityNW Point",1.00004587254813,1.00009173046219,2.19026855351029,0.138875347870646
"s(pred.date):localityParadise Springs",1.00009265890154,1.00018529813311,0.103325750728895,0.747906271468247
"s(pred.date):localityPukau NW",1.80111654997762,2.05745130717776,3.32568386661413,0.212622175255547
"s.1(pred.date):localityBonah River",1.00418623431838,1.00834521273436,0.49855066036457,0.486381720386161
"s.1(pred.date):localityKilasairo River NW",1.59130536345395,1.84051455591019,13.3496169059335,0.00927146828209108
"s.1(pred.date):localityKilasairo River SE",1.00001961524215,1.00003920658401,3.8643510897062,0.0493190918069214
"s.1(pred.date):localityKwambu Platforms",1.00004945649494,1.00009772130425,0.395051387599493,0.529592368223184
"s.1(pred.date):localityLoto Beach",1.44853345063658,1.69776959921193,0.740263754297758,0.515820847522061
"s.1(pred.date):localityMidway Cove",1.73818007081428,1.94975483107578,2.77759983728933,0.204633339915022
"s.1(pred.date):localityNW Point",1.00003850343709,1.00007698425091,1.90893711468572,0.167072064226535
"s.1(pred.date):localityParadise Springs",1.00014839291748,1.00029673970757,0.200796108184666,0.654073365759214
"s.1(pred.date):localityPukau NW",1.69426567364196,1.96045961137423,2.20599059831449,0.310110636009319
