"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date)",2.05756287314555,2.51261091605858,7.62639467581479,0.0343794850540917
"s(site,locality):dummy",4.57829004123596,8,13.3312008218425,0.0176944750778458
"s.1(pred.date)",2.219159733473,2.70541832927428,6.55003734002702,0.0708004770204989
"s.1(site,locality):dummy",4.29015468718253,8,10.8706917865787,0.0428432514190351
