"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.65395003707908,0.285702881662052,5.78905619522411,7.07830159084354e-09
"localityKilasairo River NW",2.39099174201047,0.484527088848944,4.93469157254052,8.02775165039253e-07
"localityKilasairo River SE",2.42863409583534,0.685209981302316,3.5443647379734,0.000393560385467758
"localityKwambu Platforms",0.946452733608232,1.39575392441375,0.678094266513177,0.497711925795478
"localityLoto Beach",1.30623946366097,0.413608862140111,3.15815153694283,0.00158773001084484
"localityMidway Cove",1.26170633646678,0.562456882948642,2.2432054344368,0.0248835700264738
"localityNW Point",2.86367284949374,0.521324438054944,5.49307233740677,3.95000901730026e-08
"localityParadise Springs",-0.0415758531336722,0.458219660460117,-0.0907334554172646,0.927704386683831
"localityPukau NW",1.02368977887507,0.385778656024452,2.65356769455433,0.00796457931245328
"(Intercept).1",3.18599855661388,0.190441773587986,16.7295152559683,7.98857967461367e-63
"localityKilasairo River NW.1",-1.20639945418377,0.649108628273121,-1.85854786338807,0.0630912530264816
"localityKilasairo River SE.1",0.311946777631963,0.322852635578946,0.966220322385083,0.333933945854975
"localityKwambu Platforms.1",-0.0907080192567696,0.399089203265994,-0.227287580106026,0.820200130048337
"localityLoto Beach.1",-0.81772681368899,0.275700468710088,-2.96599718351901,0.0030170325245661
"localityMidway Cove.1",-0.72466477672491,0.281152304771237,-2.57748118876188,0.00995232983989915
"localityNW Point.1",-0.308156311930357,0.296088691603572,-1.04075677548315,0.297988445663376
"localityParadise Springs.1",-0.464404629475721,0.3054410967044,-1.52043924176046,0.12840061817288
"localityPukau NW.1",-0.428033428564487,0.262041439403106,-1.63345701939162,0.102372913245803
