"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",4.15418114423517,0.35913563985297,11.5671648348125,6.04472373243242e-31
"(Intercept).1",3.98307380839056,0.106367070004979,37.4464936206678,6.8501119836846e-307
