"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date):localityBonah River",1.8491775421587,1.97724826129802,9.58067401206844,0.00784861006409904
"s(pred.date):localityKilasairo River NW",1.95219919136558,1.9977148645073,22.0341266847105,1.6076345749072e-05
"s(pred.date):localityKilasairo River SE",1.00001123646511,1.00002247243949,1.16225832657444,0.28100789811078
"s(pred.date):localityKwambu Platforms",1.8922457590407,1.98298783017433,9.91827085006902,0.00948817892719528
"s(pred.date):localityLoto Beach",1.00001140640205,1.00002260953411,0.140294559755297,0.708015110265115
"s(pred.date):localityMidway Cove",1.00000296583178,1.00000593115079,4.50455393127816,0.0338071024625679
"s(pred.date):localityNW Point",1.00000409680899,1.0000081932091,5.50333876808787,0.0189824125301771
"s(pred.date):localityParadise Springs",1.0000032275866,1.00000627496801,0.120308084852136,0.728706731184425
"s(pred.date):localityPukau NW",1.88237318291399,1.98615968309619,19.2411124904054,4.50284334234663e-05
"s.1(pred.date):localityBonah River",1.0000086056889,1.00001693598711,0.000216969437741774,0.988490337340121
"s.1(pred.date):localityKilasairo River NW",1.00000842924704,1.00001676407918,1.50713824324136e-12,1
"s.1(pred.date):localityKilasairo River SE",1.00001128690322,1.00002257330819,1.46683622736378e-11,1
"s.1(pred.date):localityKwambu Platforms",1.53226607204724,1.77578378415389,4.45812540933165,0.0472070559617222
"s.1(pred.date):localityLoto Beach",1.92235228586971,1.99396282173602,12.5146516220467,0.00210518884006977
"s.1(pred.date):localityMidway Cove",1.0000107415984,1.00002147668944,0.514069857068913,0.473402922757258
"s.1(pred.date):localityNW Point",1.00000468427938,1.00000936819943,6.4201647653599,0.0112848944004046
"s.1(pred.date):localityParadise Springs",1.64836826121466,1.87630562780378,3.62797309481276,0.225544922946901
"s.1(pred.date):localityPukau NW",1.00000016914922,1.00000033402682,6.88379620342303,0.0086988211623179
