"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.63881377804021,0.308817872004021,5.30673230602041,1.11607896634922e-07
"localityKilasairo River NW",2.28745720618478,0.530575871318153,4.31127258105775,1.62317661528851e-05
"localityKilasairo River SE",2.12173682298291,0.761119429033163,2.7876529517557,0.00530913854556234
"localityKwambu Platforms",0.514358750247988,1.99286161497982,0.258100585801688,0.796329279488944
"localityLoto Beach",1.34297289554645,0.465230471023191,2.8866830080859,0.00389326256502804
"localityMidway Cove",1.86785169729299,0.462542213877568,4.03822968207482,5.38561078695633e-05
"localityNW Point",3.15251501170551,0.499462813524747,6.31181126270037,2.75788443469386e-10
"localityParadise Springs",0.252056179831164,0.736366317413095,0.342297269539235,0.732127190201032
"localityPukau NW",0.664809145098019,0.436459692517749,1.5231856606575,0.127712262538114
"(Intercept).1",2.82948989637267,0.165856379951516,17.0598797417368,2.95162204269062e-65
"localityKilasairo River NW.1",-0.043824905215127,0.479369230767189,-0.0914220237811029,0.927157262579993
"localityKilasairo River SE.1",0.83068676865637,0.408047050848491,2.03576221646265,0.041774238188022
"localityKwambu Platforms.1",2.10275379766553,1.29021366728337,1.62977175872971,0.103149744669338
"localityLoto Beach.1",0.147111002434299,0.244396848499357,0.60193494039546,0.547217445079342
"localityMidway Cove.1",0.290888643360571,0.243034306058567,1.19690363092391,0.231344118788335
"localityNW Point.1",0.253690859911976,0.260113908489046,0.975306785345004,0.329408105700013
"localityParadise Springs.1",-0.490584209130959,0.382669450580544,-1.28200515715769,0.19984083712776
"localityPukau NW.1",-0.716959440479099,0.287336228057756,-2.49519333265204,0.0125888519205702
