"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.484285967351546,0.22142015646283,2.18718103666792,0.0287293106711719
"localityKilasairo River NW",-0.0347920350037892,0.0701918083310243,-0.495670874295047,0.620126639494699
"localityKilasairo River SE",0.0364763683724283,0.0704218407131218,0.517969539038642,0.604479522381355
"localityKwambu Platforms",0.186573165595044,0.23775910181396,0.78471513465353,0.432620607132047
"localityLoto Beach",0.0533567432968479,0.0630430225681212,0.846354459594529,0.397355035508623
"localityMidway Cove",0.195197548987252,0.0626619105261948,3.11509092761628,0.00183888214727355
"localityNW Point",0.254426101401374,0.0766781168954816,3.31810576084149,0.000906301612530103
"localityParadise Springs",-0.198936031322055,0.0662079826258742,-3.0047136830342,0.00265830958260619
"localityPukau NW",0.0362119534037102,0.0541443521079676,0.668803891706028,0.503620583886398
"date.diff",-0.0227186494059325,0.0405867049463958,-0.55975594559691,0.575645916525253
"(Intercept).1",0.435118230743238,0.139072697928812,3.12871064718945,0.00175575112266099
"localityKilasairo River NW.1",-0.0537048616842239,0.0565373921140235,-0.949899874686704,0.342163130521819
"localityKilasairo River SE.1",-0.132591734861709,0.0370431064542988,-3.57939027131246,0.000344396818008477
"localityKwambu Platforms.1",-0.265574866108376,0.0480339976186203,-5.52889368519739,3.2225655620814e-08
"localityLoto Beach.1",-0.245569702490499,0.0340202139667174,-7.21834679613551,5.26233771739491e-13
"localityMidway Cove.1",-0.0904115225664385,0.0470319983067251,-1.92234065788165,0.0545629072239704
"localityNW Point.1",-0.104491178314756,0.0349165519164233,-2.99259728064979,0.00276614493684391
"localityParadise Springs.1",-0.124103615328029,0.0348293662071753,-3.56318902244228,0.000366376663761695
"localityPukau NW.1",-0.0464543929231888,0.0288754370465429,-1.60878579424829,0.107663188180573
"date.diff.1",-0.00841470065119936,0.0256216497392029,-0.328421500443989,0.742592988723348
