"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date)",3.92003967432928,4.64103682166073,20.7543969724549,0.000513014289965141
"s(site,locality):dummy",6.08816309767284,8,50.6316160667445,0.000204781875257964
"s.1(pred.date)",1.00024907961127,1.00048473738461,22.9516635704659,2.45907302848236e-06
"s.1(site,locality):dummy",4.95157916980407,8,29.0687498276419,0.022733155463135
