"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.24486760470498,0.39567389445816,5.6735297328097,1.39884808458837e-08
"localityKilasairo River NW",3.06628334550136,0.679795921363053,4.51059391376338,6.46463726984922e-06
"localityKilasairo River SE",2.54700086854112,0.652953921756388,3.90073599939474,9.59006867285896e-05
"localityKwambu Platforms",-6.87460451518933,3.31083369355972,-2.07639680862313,0.0378572661802863
"localityLoto Beach",1.59730384326059,0.596082591209838,2.67966866809282,0.00736950652658512
"localityMidway Cove",2.44060142055026,0.592630562330124,4.1182510246421,3.81758722860463e-05
"localityNW Point",3.78495372632011,0.635783734696255,5.95320943233687,2.62934473245105e-09
"localityParadise Springs",0.329225250685984,0.943480743125382,0.348947504318308,0.72712872069521
"localityPukau NW",0.829645436180928,0.559214641470007,1.48359033304286,0.137917635521301
"(Intercept).1",3.24529140452941,0.14896621273048,21.7854192910242,3.1901234984541e-105
"localityKilasairo River NW.1",0.35310189408996,0.357945723505376,0.986467698599719,0.323903658504204
"localityKilasairo River SE.1",0.471022727255417,0.245829968538738,1.91605087880566,0.0553586198498466
"localityKwambu Platforms.1",0.0957154378281579,0.315303152009984,0.303566384344699,0.761458265069311
"localityLoto Beach.1",0.0853083711804595,0.22441673351077,0.38013373533202,0.703846144899847
"localityMidway Cove.1",0.338302559684464,0.223118302379612,1.51624746189077,0.129456790932119
"localityNW Point.1",0.30809614723516,0.239366116815157,1.28713349798409,0.198047761519487
"localityParadise Springs.1",-0.352183041648209,0.355211178359743,-0.99147510862266,0.321453640861108
"localityPukau NW.1",-0.540268093203207,0.248175062077885,-2.17696366701685,0.0294832784189244
