"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.28233704121858,0.366721887638363,6.22361827355466,4.8581826857226e-10
"localityKilasairo River NW",3.27177429559161,0.621932813412964,5.2606555322868,1.43542726096227e-07
"localityKilasairo River SE",3.81479515488776,0.862987794253808,4.4204508804047,9.84951732663841e-06
"localityKwambu Platforms",-2.44829230186711,2.60962897762575,-0.938176393218387,0.348153767931662
"localityLoto Beach",1.57463641457206,0.530899805653831,2.96597662648005,0.0030172341936543
"localityMidway Cove",2.1379011081506,0.620121301099775,3.44755309059545,0.000565689216707901
"localityNW Point",3.7242305255717,0.570160230759985,6.53190160353266,6.49398169736781e-11
"localityParadise Springs",-0.0306226180182579,0.588176119677309,-0.0520636880583632,0.958477946437459
"localityPukau NW",1.34320311282979,0.495177023825699,2.71257156168578,0.00667633640896014
"(Intercept).1",4.04311213112076,0.236777371328625,17.0755850038951,2.2555361197655e-65
"localityKilasairo River NW.1",-0.960119642141892,0.709763480005807,-1.35273181727248,0.176141321921751
"localityKilasairo River SE.1",0.676088902310741,0.401404937120471,1.68430639433772,0.0921224702722174
"localityKwambu Platforms.1",0.295793653964329,0.496246557363986,0.596061876047174,0.551133891480755
"localityLoto Beach.1",-0.652460630650856,0.342781311046042,-1.90343116624354,0.0569843075177563
"localityMidway Cove.1",-0.368598866681716,0.34955847145582,-1.05446984347596,0.291667860238495
"localityNW Point.1",0.0556191573592978,0.368129722571019,0.151085755778842,0.879908068753397
"localityParadise Springs.1",-0.691930444291013,0.379769542261414,-1.82197455902012,0.068458845974406
"localityPukau NW.1",-0.406835909616297,0.325773776270002,-1.24882952297275,0.211727433295889
