"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date):localityBonah River",1.12252880658897,1.23031004195069,5.96229030759941,0.0290293747704097
"s(pred.date):localityKilasairo River NW",2.05375673819275,2.20216782423249,10.2744382313979,0.00461939860146698
"s(pred.date):localityKilasairo River SE",1.00001791429339,1.00003582219375,0.829944220252073,0.362295100854682
"s(pred.date):localityKwambu Platforms",1.8698170585084,2.00839725974174,4.7798450426784,0.0862421363798072
"s(pred.date):localityLoto Beach",1.00001438224629,1.00002804146814,0.0182623361089003,0.892553495933924
"s(pred.date):localityMidway Cove",1.00021387168344,1.00041739055727,4.19877941839822,0.0404975228591934
"s(pred.date):localityNW Point",1.00001808952924,1.00003542649807,3.89554700822091,0.0484161888026196
"s(pred.date):localityParadise Springs",1.0000065088224,1.00001284003874,0.0265888897775232,0.870480711567131
"s(pred.date):localityPukau NW",1.33762426320243,1.56572616744912,15.1654564133987,0.00292974628670539
"s.1(pred.date):localityBonah River",1.00001808196794,1.00003578222442,5.76294951113575,0.0163691762069821
"s.1(pred.date):localityKilasairo River NW",1.93441090925619,2.08543473683398,14.7446426893597,0.00197595309543064
"s.1(pred.date):localityKilasairo River SE",1.00000789714758,1.00001578457829,0.762178705623674,0.382654714632823
"s.1(pred.date):localityKwambu Platforms",1.00000549334093,1.00001081007885,2.42416923922988,0.119475352012501
"s.1(pred.date):localityLoto Beach",1.68817789908603,1.91658839664617,2.13681854068422,0.293482088798459
"s.1(pred.date):localityMidway Cove",1.74655236636115,1.96536985504325,4.81783626145288,0.0754306587805796
"s.1(pred.date):localityNW Point",1.79985073956895,1.99223984825502,9.82198974249814,0.00723530600554917
"s.1(pred.date):localityParadise Springs",1.88368562935999,2.00473606517043,9.8241482796958,0.00747037597309819
"s.1(pred.date):localityPukau NW",2.29263999761626,2.54777902447018,22.4942421588206,2.52780938426733e-05
