"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",5.78496803885204,0.824569365553311,7.01574455773064,2.28727605427181e-12
"localityKilasairo River NW",-3.82281652517995,2.34560618104824,-1.62977764812657,0.103148499490146
"localityKilasairo River SE",5.41741738594562,1.20057200465778,4.51236357746811,6.4109169661056e-06
"localityKwambu Platforms",-13.5712469116823,6.21842188746833,-2.1824262099411,0.0290780916996859
"localityLoto Beach",2.09872978822071,1.1139697815782,1.88400962299657,0.059563673826221
"localityMidway Cove",3.12379362757281,1.10873104677546,2.81744940457634,0.0048406740752255
"localityNW Point",3.48305379392683,1.17426469114048,2.96615730695606,0.00301546209915886
"localityParadise Springs",-0.199697775297702,1.65842008557618,-0.120414469792388,0.904154829566681
"localityPukau NW",-1.89418567914893,1.33095922202101,-1.4231733383031,0.154685912512031
"(Intercept).1",4.37559181736517,0.131460485326316,33.2844641985302,6.47932532809334e-243
"localityKilasairo River NW.1",0.624408597796094,0.225860825796933,2.76457236704469,0.00569974627661668
"localityKilasairo River SE.1",0.624409312426026,0.216942834356235,2.87822049656041,0.00399925499563344
"localityKwambu Platforms.1",-1.37547335732478,1.00139050135921,-1.37356341552853,0.169577261142754
"localityLoto Beach.1",-1.67741000813824,0.545471884383023,-3.0751539284844,0.00210393937777863
"localityMidway Cove.1",0.548604650558668,0.196900430647513,2.7862034062321,0.00533293960887419
"localityNW Point.1",0.499970097112562,0.21123619358276,2.36687704238847,0.0179388914940893
"localityParadise Springs.1",-1.56668994725863,1.27464763685508,-1.22911611174685,0.219028275170339
"localityPukau NW.1",-0.355626375259931,0.185795849534931,-1.9140706111041,0.0556111340719075
