"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date):localityBonah River",1.00001268404546,1.00002536752893,0.975706530370312,0.32327001875166
"s(pred.date):localityKilasairo River NW",1.00000398481734,1.00000769149224,0.799464561677348,0.371260108504227
"s(pred.date):localityKilasairo River SE",1.00000019535817,1.00000039070697,0.0563916917822185,0.812293959290693
"s(pred.date):localityKwambu Platforms",1.9023268647054,1.99045870458208,11.4314388583509,0.00473882716370272
"s(pred.date):localityLoto Beach",1.00000586115619,1.00001172223123,0.0557221970625115,0.813401775284475
"s(pred.date):localityMidway Cove",1.00000335471691,1.00000670922588,0.337089932889435,0.56152092698061
"s(pred.date):localityNW Point",1.00000396522615,1.00000793041581,0.641025962824151,0.423348066162865
"s(pred.date):localityParadise Springs",1.00000421056161,1.00000842107018,0.0937984026867146,0.759413568355021
"s(pred.date):localityPukau NW",1.00000240902732,1.00000461426497,14.4937780026322,0.000141318504513488
"s.1(pred.date):localityBonah River",1.00000457549906,1.00000914995026,1.91004485270359,0.1669610404129
"s.1(pred.date):localityKilasairo River NW",1.32734403225451,1.54750701692457,0.4110196806718,0.63970572530597
"s.1(pred.date):localityKilasairo River SE",1.0000033581115,1.00000671526241,0.0162840052841392,0.898471799406134
"s.1(pred.date):localityKwambu Platforms",1.00000091452238,1.00000179805593,0.809904423785036,0.368148256593151
"s.1(pred.date):localityLoto Beach",1.00000430336638,1.00000860648915,0.0636328173792834,0.800854901345018
"s.1(pred.date):localityMidway Cove",1.00000373843771,1.00000747535526,5.23433550624281,0.0221478216756223
"s.1(pred.date):localityNW Point",1.00000712480807,1.0000142494453,1.16164288653704,0.281136703165392
"s.1(pred.date):localityParadise Springs",1.0000047335672,1.00000946686708,0.0147146781069103,0.903469811750748
"s.1(pred.date):localityPukau NW",1.52527696780777,1.77461171552459,35.7887207383911,4.19617977048259e-05
