"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.315587504873381,0.243349684654977,-1.29684780697712,0.19468355776903
"localityKilasairo River NW",0.21189650645819,0.0668796607979465,3.16832507716151,0.00153319980821537
"localityKilasairo River SE",0.0904478639547934,0.0666827556205153,1.35639061573164,0.174974917501339
"localityKwambu Platforms",0.939490795035248,0.356931546769074,2.63213157687929,0.00848509948663783
"localityLoto Beach",0.0743570402040755,0.0609568059442417,1.21983163409335,0.222528706662193
"localityMidway Cove",0.0898407608621082,0.0602168926746406,1.49195278719427,0.135711522797298
"localityNW Point",0.17695365534224,0.0626917107676807,2.82260051887856,0.00476358864570197
"localityParadise Springs",0.00190720054656411,0.0628950651554229,0.0303235324083239,0.975809029052493
"localityPukau NW",0.105169809805017,0.0519970006497446,2.02261300634334,0.0431130621866775
"date.diff",0.0868209705932799,0.0448018971548883,1.93788602953853,0.0526371287646984
"(Intercept).1",0.0533476250650279,0.13145616234214,0.405820648606648,0.684874385705545
"localityKilasairo River NW.1",0.117284852690092,0.0543819738690553,2.15668620216873,0.0310301227899799
"localityKilasairo River SE.1",0.0215473566180241,0.035131788447124,0.613329339906918,0.539658597137665
"localityKwambu Platforms.1",-0.106322530344957,0.0455366494506202,-2.33487820530697,0.0195497842155246
"localityLoto Beach.1",-0.0802125872975339,0.0556463795470575,-1.44147001027626,0.149451943889211
"localityMidway Cove.1",0.0321904933423566,0.043713922426494,0.736389954401498,0.461493416351752
"localityNW Point.1",0.00266306127991667,0.0331155122876096,0.0804173360444455,0.935905339388077
"localityParadise Springs.1",0.023459585952546,0.0332149946747514,0.70629503880002,0.480004678057155
"localityPukau NW.1",0.0180328694145367,0.0273761986205093,0.65870611418735,0.510084505991688
"date.diff.1",0.0331160354556451,0.0242133657416332,1.36767584519257,0.171413564005813
