"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date):localityBonah River",1.00000281436415,1.00000552586444,0.322533148242007,0.570094370687229
"s(pred.date):localityKilasairo River NW",1.00000745182012,1.00001435680871,3.60730908182007,0.0575312919217533
"s(pred.date):localityKilasairo River SE",1.5376211088873,1.76579288033411,1.03063292783596,0.427105010556022
"s(pred.date):localityKwambu Platforms",1.40020915626147,1.62429400679863,2.08859719062665,0.393735402013053
"s(pred.date):localityLoto Beach",1.00000297471096,1.00000594933517,0.462709127253492,0.49636631819652
"s(pred.date):localityMidway Cove",1.00000632854255,1.00001265432369,1.89565824740582,0.168575754157036
"s(pred.date):localityNW Point",1.00378148946227,1.00754722088883,3.52363570591415,0.0637979304780908
"s(pred.date):localityParadise Springs",1.00000307251169,1.00000614493951,0.137673575994989,0.710612569591512
"s(pred.date):localityPukau NW",1.00000213368154,1.00000414307263,10.8461059624378,0.00099015360596405
"s.1(pred.date):localityBonah River",1.14513320634691,1.2691769569587,1.64795942037005,0.206923999377097
"s.1(pred.date):localityKilasairo River NW",1.70697788971892,1.91411835222251,2.58215137422114,0.192852647024846
"s.1(pred.date):localityKilasairo River SE",1.61755355440827,1.83332767295073,1.98609562721165,0.286899632128569
"s.1(pred.date):localityKwambu Platforms",1.73054275000729,1.91143640384488,4.16319064283594,0.171157117462506
"s.1(pred.date):localityLoto Beach",1.00000277405343,1.00000554798945,0.828867959436104,0.362606699743636
"s.1(pred.date):localityMidway Cove",1.00000325816392,1.00000651550525,5.49774090655044,0.0190431240024375
"s.1(pred.date):localityNW Point",1.00000177706561,1.00000355181338,0.37744287892351,0.538978548743211
"s.1(pred.date):localityParadise Springs",1.00000285865627,1.00000571718116,0.0677147798543521,0.794700453340267
"s.1(pred.date):localityPukau NW",1.8041652802068,1.9616407763699,40.0002878113041,7.28470051170049e-07
