Data Set Name,Site Name,Country Ocean,Latitude (°),Longitude (°),Elevation (m),Publication 1,Publication 2,Original Data Citation,Neotoma ID,Archive Type,Proxy General,Proxy Type,Proxy Detial,Calibration Method,Calibration Seasonality,Paleo Data Notes,Variable Name,Units,Datum,Climate Variable,Climate Variable Detail,Seasonality,Season General,Direction,Min Year,Max Year,Resolution,Ages Per kyr,In Compilation,QC Certification,QC Comments,Link to LiPDverse,,,
EW0408_85JC.Praetorius.2015,EW0408_85JC,Pacific Ocean>North Pacific Ocean>Gulf Of Alaska,59.5554,-144.1535,-682,10.1038/nature15753,10.1016/j.epsl.2014.04.004,www.ncdc.noaa.gov/paleo/study/21950,,MarineSediment,isotope,d18O,bulloides,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=8.2693, prior_std=10, species=bulloides, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.95101) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,994,17261,75,1.82,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/EW0408_85JC.Praetorius.2015.html,,,
EW0408_85JC.Praetorius.2015,EW0408_85JC,Pacific Ocean>North Pacific Ocean>Gulf Of Alaska,59.5554,-144.1535,-682,10.1038/nature15753,10.1016/j.epsl.2014.04.004,www.ncdc.noaa.gov/paleo/study/21950,,MarineSediment,isotope,d18O,pachyderma,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=8.2693, prior_std=10, species=pachy, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.95101) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,994,17370,75,1.82,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/EW0408_85JC.Praetorius.2015.html,,,
MD97_2151.Yamamoto.2013,MD97_2151,Pacific Ocean>Western Pacific Ocean>South China Sea,8.728,109.869,-1598,10.5194/cp-9-2777-2013,,this compilation,,MarineSediment,other biomarker,GDGT,TEX86,"Bayspar (bayspar_tex.m) 10.1016/j.gca.2013.11.026 Parameters: prior_std=10, runname=SST, varargin=1000,1",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,955,154522,377,0.81,Temp12k,"AdV, LJ, JET",,http://lipdverse.org/globalHolocene/0_54_0/MD97_2151.Yamamoto.2013.html,,,
MD97_2151.Yamamoto.2013,MD97_2151,Pacific Ocean>Western Pacific Ocean>South China Sea,8.728,109.869,-1598,10.5194/cp-9-2777-2013,,this compilation,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,955,154278,378,0.81,Temp12k,"AdV, LJ, JET",,http://lipdverse.org/globalHolocene/0_54_0/MD97_2151.Yamamoto.2013.html,,,
ClarksJunction.Wilmshurst.2007,Clarks Junction,Australia/New Zealand>New Zealand,-45.72,170.12,560,10.1002/jqs.1135,,this compilation,10.21233/ZXZ5-Q261,Peat,pollen,pollen,assemblage,WMAT,,,temperature,degC,abs,T,air@surface,annual,annual,positive,945,16800,421,0.72,Temp12k,"BASD, TB, JMW",largest age gap is 4200 yrs and median spacing is 421 years; retained to improve coverage in SH,http://lipdverse.org/globalHolocene/0_54_0/ClarksJunction.Wilmshurst.2007.html,,,
MD03_2699.Rodrigues.2010,MD03_2699,Atlantic Ocean>North Atlantic Ocean,39.0367,-10.6605,-1865,10.1016/j.quascirev.2010.04.004,,10.1594/PANGAEA.761812,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,932,23368,172,0.36,Temp12k,"JET, DSK",age gap 10.1 - 5.8 ka; four ages within Holocene; high-resolution sampling; retain,http://lipdverse.org/globalHolocene/0_54_0/MD03_2699.Rodrigues.2010.html,,,
Longwoods.Wilmshurst.2007,Longwoods,Australia/New Zealand>New Zealand,-46.23,167.83,60,10.1002/jqs.1135,,this compilation,not in Neotoma,Peat,pollen,pollen,assemblage,WMAT,,,temperature,degC,abs,T,air@surface,annual,annual,positive,914,16974,420,0.36,Temp12k,"BASD, TB, JMW",gap = 3760; retained to improve coverage in SH,http://lipdverse.org/globalHolocene/0_54_0/Longwoods.Wilmshurst.2007.html,,,
KT05_7_PC_02.Kawahata.2009,KT05_7_PC_02,Pacific Ocean>North Pacific Ocean>Sea Of Japan,41,140.7667,-61,10.1016/j.quascirev.2008.12.009,,10.1594/PANGAEA.705420,,MarineSediment,alkenone,alkenone,UK37,"BAY: SST calculated from Uk37 (TSid=RWShShxDbGs) using the BAYSPLINE program UK_predict. Parameters: pstd=10, bayes=unspecified",,"Year-long sediment-trap experiments carried out at site MD01–2409 (41°33.8′, 141°52.0′E) have shown that the modern coccolithophore production season is mainly June–August (Ishizaki et al., 2003). Therefore C37alkenone SSTs would record the SST in summer when present SST is around 22 °C",temperature,degC,abs,T,sea@surface,summer,summerOnly,positive,914,10119,100,1.07,Temp12k,SLJ,,http://lipdverse.org/globalHolocene/0_54_0/KT05_7_PC_02.Kawahata.2009.html,,,
MD99_2339.Eynaud.2009,MD99_2339,Atlantic Ocean>North Atlantic Ocean,35.8855,-7.5278,-1177,10.1029/2009GC002398,,10.1594/PANGAEA.738148,,MarineSediment,isotope,d18O,pachyderma_d,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=18.0868, prior_std=10, species=incompta, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (1.0079) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,894,47072,333,0.54,Temp12k,"JET, DSK",age gap 5.3 - 1.9 ka; 6 ages within Holocene; retain,http://lipdverse.org/globalHolocene/0_54_0/MD99_2339.Eynaud.2009.html,,,
M39008_3.Eynaud.2009,M39008_3,Atlantic Ocean>North Atlantic Ocean,36.38,-7.0717,-577,10.1029/2009GC002398,10.1029/2000PA000502,10.1594/PANGAEA.738148,,MarineSediment,isotope,d18O,bulloides,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=18.593, prior_std=10, species=bulloides, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.99195) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,875,21497,38,0.72,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/M39008_3.Eynaud.2009.html,,,
BS79_38.Cacho.2001,BS79-38,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,38.4,13.6,-1489,10.1029/2000PA000502,,www.ncdc.noaa.gov/paleo/study/6374,,MarineSediment,alkenone,alkenone,UK'37,"BAY: SST calculated from Uk37 (TSid=GH07da367f) using the BAYSPLINE program UK_predict. Parameters: pstd=10, bayes=unspecified",,,SST_from_Uk37,degC,abs,T,sea@surface,annual,annual,positive,867,24517,259,,Temp12k,"PMS, JET, DSK","no 14C chronology; age model based on 18O alignment with neigbouring 14C dated core (Capodonti et al., 1999) and planktic foraminifera chronozones",http://lipdverse.org/globalHolocene/0_54_0/BS79_38.Cacho.2001.html,,,
GIK17051_3.Jung.1996,GIK17051_3,Atlantic Ocean>North Atlantic Ocean,56.1633,-31.99,-2295,10.2312/reports-sfb313.1996.61,,10.1594/PANGAEA.136420,,MarineSediment,isotope,d18O,bulloides,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=8.6039, prior_std=10, species=bulloides, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.25233) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,859,84220,203,0.45,Temp12k,"JET, DSK",ages based on median of Bacon ensemble,http://lipdverse.org/globalHolocene/0_54_0/GIK17051_3.Jung.1996.html,,,
GIK17051_3.Jung.1996,GIK17051_3,Atlantic Ocean>North Atlantic Ocean,56.1633,-31.99,-2295,10.2312/reports-sfb313.1996.61,,10.1594/PANGAEA.136420,,MarineSediment,isotope,d18O,pachyderma,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=8.6039, prior_std=10, species=pachy, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.25233) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,859,83179,237,0.45,Temp12k,"JET, DSK",ages based on median of Bacon ensemble,http://lipdverse.org/globalHolocene/0_54_0/GIK17051_3.Jung.1996.html,,,
ME0005A_43JC.Benway.2006,ME0005A_43JC,Pacific Ocean>North Pacific Ocean,7.8558,-83.6083,-1368,10.1029/2005PA001208,10.1029/2009PA001781,www.ncdc.noaa.gov/paleo/study/5943 www.ncdc.noaa.gov/paleo/study/12195,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=28.292, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.24167) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,857,28290,195,0.26,Temp12k,"JET, DSK",sample resolution is low (beween 400 and 500 yr); chronology is weak; retain to improve tropical coverage,http://lipdverse.org/globalHolocene/0_54_0/ME0005A_43JC.Benway.2006.html,,,
GeoB5844_2.Arz.2003,GeoB5844_2,Indian Ocean>Red Sea,27.714,34.6817,-963,10.1029/2002PA000864,,10.1594/PANGAEA.736623,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,813,21014,302,0.61,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/GeoB5844_2.Arz.2003.html,,,
MSM343300.Ouellet-Bernier.2014,MSM343300,Atlantic Ocean>North Atlantic Ocean>Davis Strait,68.4719,-54.002,-519,10.1177/0959683614544060,archipel.uqam.ca/6996/1/M13491.pdf,this compilation,,MarineSediment,other microfossil,dinocyst,assemblage,,,MAT,temperature,degC,abs,T,sea@surface,winter,winter+,positive,803,10129,52,2.68,Temp12k,LJ,,http://lipdverse.org/globalHolocene/0_54_0/MSM343300.Ouellet-Bernier.2014.html,,,
MSM343300.Ouellet-Bernier.2014,MSM343300,Atlantic Ocean>North Atlantic Ocean>Davis Strait,68.4719,-54.002,-519,10.1177/0959683614544060,archipel.uqam.ca/6996/1/M13491.pdf,this compilation,,MarineSediment,other microfossil,dinocyst,assemblage,,,MAT,temperature,degC,abs,T,sea@surface,Summer,summer+,positive,803,10129,52,2.68,Temp12k,LJ,,http://lipdverse.org/globalHolocene/0_54_0/MSM343300.Ouellet-Bernier.2014.html,,,
MSM343300.Ouellet-Bernier.2014,MSM343300,Atlantic Ocean>North Atlantic Ocean>Davis Strait,68.4719,-54.002,-519,10.1177/0959683614544060,archipel.uqam.ca/6996/1/M13491.pdf,this compilation,,MarineSediment,other microfossil,dinocyst,assemblage,,,calculated from average of summer and winter,temperature,degC,abs,T,sea@surface,annual,annual,positive,803,10129,52,2.68,Temp12k,LJ,,http://lipdverse.org/globalHolocene/0_54_0/MSM343300.Ouellet-Bernier.2014.html,,,
GeoB17419_1.Hollstein.2018,GeoB17419_1,Pacific Ocean>South Pacific Ocean,-2.8147,144.4997,-1883,10.1016/j.quascirev.2018.10.030,,10.1594/PANGAEA.899182,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=29.1927, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.22122) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,802,111350,418,1.34,Temp12k,"JET, DSK",sample resolution is low (beween 400 and 500 yr); retain to improve SH coverage,http://lipdverse.org/globalHolocene/0_54_0/GeoB17419_1.Hollstein.2018.html,,,
M77_2_029_3.Salvatteci.2019,M77_2_029_3,Pacific Ocean>South Pacific Ocean,-9.295,-79.6185,-433,10.1029/2018gl080634,,10.1594/PANGAEA.897235,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,801,17590,470,0.71,Temp12k,"JET, DSK",sample resolution is low (beween 400 and 500 yr); retain to improve SH coverage,http://lipdverse.org/globalHolocene/0_54_0/M77_2_029_3.Salvatteci.2019.html,,,
MD84_527.Labracherie.1989,MD84_527,Indian; Indian Ocean,-43.8217,51.3183,-3262,10.1029/PA003i003p00361,10.1029/92PA00709,"10.1594/PANGAEA.52302,10.1594/PANGAEA.52483,10.1594/PANGAEA.863097",,MarineSediment,isotope,d18O,pachyderma,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=8.5684, prior_std=10, species=pachy, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.20212) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,800,21800,400,1.37,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/MD84_527.Labracherie.1989.html,,,
AjaxBog.Wilmshurst.2007,Ajax Bog,Australia/New Zealand>New Zealand,-46.42,169.28,680,10.1002/jqs.1135,,this compilation,10.21233/P1TB-DF93,Peat,pollen,pollen,assemblage,WMAT,,,temperature,degC,abs,T,air@surface,annual,annual,positive,785,14212,186,0.53,Temp12k,"BASD, JMW",,http://lipdverse.org/globalHolocene/0_54_0/AjaxBog.Wilmshurst.2007.html,,,
M77_2_003_2.Salvatteci.2019,M77_2_003_2,Pacific Ocean>South Pacific Ocean,-15.1035,-75.688,-271,10.1029/2018gl080634,,10.1594/PANGAEA.897235,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,784,17297,65,1.25,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/M77_2_003_2.Salvatteci.2019.html,,,
Quartz.Wooller.2012,Quartz,North America>United States Of America>Alaska,64.206,-145.814,293,10.1007/s10933-012-9610-9,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,,LakeSediment,chironomid,chironomid,assemblage,WAPLS,7,northwest North American training set (Barley 2006),temperature,degC,abs,T,air@surface,Summer,summerOnly,positive,777,10949,194,1.38,Temp12k,"YLA, MTO",,http://lipdverse.org/globalHolocene/0_54_0/Quartz.Wooller.2012.html,,,
GIK17049_6.Jung.1996,GIK17049_6,Atlantic Ocean>North Atlantic Ocean,55.26,-26.725,-3331,10.2312/reports-sfb313.1996.61,,10.1594/PANGAEA.136418,,MarineSediment,isotope,d18O,bulloides,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=10.1735, prior_std=10, species=bulloides, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.34155) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,776,141157,98,0.53,Temp12k,"JET, DSK",ages based on median of Bacon ensemble,http://lipdverse.org/globalHolocene/0_54_0/GIK17049_6.Jung.1996.html,,,
HU73_031_7.Keigwin.1995,HU73_031_7,Atlantic Ocean>North Atlantic Ocean,42.9783,-55.2483,-4055,10.1029/95PA02643,,10.1594/PANGAEA.51942,,MarineSediment,isotope,d18O,pachyderma,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=11.0055, prior_std=10, species=pachy, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.97001) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,770,20410,220,0.36,Temp12k,"JET, DSK",age gap 5.4 - 1.1 ka; five ages within Holocene; retain,http://lipdverse.org/globalHolocene/0_54_0/HU73_031_7.Keigwin.1995.html,,,
HU73_031_7.Keigwin.1995,HU73_031_7,Atlantic Ocean>North Atlantic Ocean,42.9783,-55.2483,-4055,10.1029/95PA02643,,10.1594/PANGAEA.51942,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=19.6807, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.97001) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,770,12400,220,0.36,Temp12k,"JET, DSK",age gap 5.4 - 1.1 ka; five ages within Holocene; retain,http://lipdverse.org/globalHolocene/0_54_0/HU73_031_7.Keigwin.1995.html,,,
MD98_2165.Levi.2007,MD98_2165,Indian Ocean,-9.65,118.4,-2100,10.1029/2006GC001514,,this compilation,,MarineSediment,Mg/Ca,Mg/Ca,ruber,"Baymag (baymag_predict.m) github.com/jesstierney/BAYMAG Parameters: omega=1.1108, clean=0, species=ruber, pstd=10, varargin=unspecified; For salinity and pH, values are specified to change through time, and are calculated using the get_phsal program from Jess Tierney, based on modern values of salinity (34.1027) and pH (8.0755) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,767,25827,209,0.71,Temp12k,"AdV, DSK, JET",,http://lipdverse.org/globalHolocene/0_54_0/MD98_2165.Levi.2007.html,,,
GeoB12615_4.Romahn.2014,GeoB12615_4,Indian Ocean,-7.1383,39.8408,-446,10.5194/cp-10-293-2014,,10.1594/PANGAEA.829471,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=27.4629, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.44357) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,766,37604,96,0.89,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/GeoB12615_4.Romahn.2014.html,,,
GeoB12615_4.Romahn.2014,GeoB12615_4,Indian Ocean,-7.1383,39.8408,-446,10.5194/cp-10-293-2014,,10.1594/PANGAEA.829471,,MarineSediment,Mg/Ca,Mg/Ca,ruber,"Baymag (baymag_predict.m) github.com/jesstierney/BAYMAG Parameters: omega=2.5346, salinity=35.1742, pH=8.0286, clean=0, species=ruber, pstd=10, varargin=0",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,766,38790,192,0.89,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/GeoB12615_4.Romahn.2014.html,,,
GIK23258_2.Martrat.2003,GIK23258_2,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,74.9981,13.9685,-1768,10.1016/S0146-6380(03)00084-6,,10.1594/PANGAEA.780465,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,760,14120,120,1.15,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/GIK23258_2.Martrat.2003.html,,,
HM03_133_25.Solignac.2008,HM03_133_25,Atlantic Ocean>North Atlantic Ocean,60.11,-6.07,1156,10.1139/E08-061,,this compilation,,MarineSediment,other microfossil,dinocyst,assemblage,,,,temperature,degC,abs,T,sea@surface,winter,winter+,positive,757,10228,91,0.95,Temp12k,"SLJ, AdV",,http://lipdverse.org/globalHolocene/0_54_0/HM03_133_25.Solignac.2008.html,,,
HM03_133_25.Solignac.2008,HM03_133_25,Atlantic Ocean>North Atlantic Ocean,60.11,-6.07,1156,10.1139/E08-061,,this compilation,,MarineSediment,other microfossil,dinocyst,assemblage,,,,temperature,degC,abs,T,sea@surface,Summer,summer+,positive,757,10228,91,0.95,Temp12k,SLJ,,http://lipdverse.org/globalHolocene/0_54_0/HM03_133_25.Solignac.2008.html,,,
HM03_133_25.Solignac.2008,HM03_133_25,Atlantic Ocean>North Atlantic Ocean,60.11,-6.07,1156,10.1139/E08-061,,this compilation,,MarineSediment,other microfossil,dinocyst,assemblage,,,,temperatureComposite,degC,anom,T,sea@surface,summer + winter,annual,positive,757,10228,91,0.95,Temp12k,SLJ,"this timeseries was composited programmatically, with the assumption that all values are measured at equivalent levels",http://lipdverse.org/globalHolocene/0_54_0/HM03_133_25.Solignac.2008.html,,,
MD99-2227.deVernal.2013,MD99-2227,Atlantic Ocean>North Atlantic Ocean,58.2107,-48.373,-3460,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,,MarineSediment,other microfossil,dinocyst,assemblage,,,,temperature,degC,abs,T,sea@surface,summer + winter,annual,positive,753,11832,63,1.43,Temp12k,AdV,SST winter missing from the lipd file,http://lipdverse.org/globalHolocene/0_54_0/MD99-2227.deVernal.2013.html,,,
MD99-2227.deVernal.2013,MD99-2227,Atlantic Ocean>North Atlantic Ocean,58.2107,-48.373,-3460,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,,MarineSediment,other microfossil,dinocyst,assemblage,,,,temperature,degC,abs,T,sea@surface,Summer,summer+,positive,753,9848,65,1.17,Temp12k,AdV,SST winter missing from the lipd file,http://lipdverse.org/globalHolocene/0_54_0/MD99-2227.deVernal.2013.html,,,
MD01_2378.Xu.2008,MD01_2378,Indian Ocean,-13.0825,121.788,-1783,10.1016/j.epsl.2008.06.029,,10.1594/PANGAEA.831198,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=28.3396, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.34108) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,730,23070,100,1.06,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/MD01_2378.Xu.2008.html,,,
MD01_2378.Xu.2008,MD01_2378,Indian Ocean,-13.0825,121.788,-1783,10.1016/j.epsl.2008.06.029,,10.1594/PANGAEA.831198,,MarineSediment,Mg/Ca,Mg/Ca,ruber,"Baymag (baymag_predict.m) github.com/jesstierney/BAYMAG Parameters: omega=1.0547, salinity=34.4471, pH=8.0787, clean=1, species=ruber, pstd=10, varargin=0",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,730,23070,100,1.06,Temp12k,"OC, DSK, JET",,http://lipdverse.org/globalHolocene/0_54_0/MD01_2378.Xu.2008.html,,,
SV04.Rigual-Hernndez.2017,SV04,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,74.957,13.899,-1839,10.1016/j.palaeo.2016.10.034,10.1029/2011GC003810,10.1594/PANGAEA.871901,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,726,10486,134,0.72,Temp12k,"LJ, DSK, JET",max gap 3.1 ka; 8 ages within Holocene,http://lipdverse.org/globalHolocene/0_54_0/SV04.Rigual-Hernndez.2017.html,,,
GIK23258.Sarnthein.2003,GIK23258,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,75,14,-1768,10.1111/j.1502-3885.2003.tb01227.x,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444; 10.1594/PANGAEA.114683,,MarineSediment,other microfossil,foraminifera,,,,,temperature,degC,,T,sea@surface,winter,winter+,positive,698,13987,34,1.95,temp12k,,,http://lipdverse.org/globalHolocene/0_54_0/GIK23258.Sarnthein.2003.html,,,
GIK23258.Sarnthein.2003,GIK23258,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,75,14,-1768,10.1111/j.1502-3885.2003.tb01227.x,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444; 10.1594/PANGAEA.114683,,MarineSediment,other microfossil,foraminifera,,,,,temperature,degC,,T,sea@surface,summer,summer+,positive,698,13987,34,1.95,temp12k,,,http://lipdverse.org/globalHolocene/0_54_0/GIK23258.Sarnthein.2003.html,,,
GIK23258.Sarnthein.2003,GIK23258,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,75,14,-1768,10.1111/j.1502-3885.2003.tb01227.x,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444; 10.1594/PANGAEA.114683,,MarineSediment,other microfossil,foraminifera,,,,,temperature,degC,,T,sea@surface,annual,annual,positive,698,13987,34,1.95,temp12k,,,http://lipdverse.org/globalHolocene/0_54_0/GIK23258.Sarnthein.2003.html,,,
165_1002C.Herbert.2000,165_1002C,Atlantic Ocean>North Atlantic Ocean>Caribbean Sea,10.7061,-65.1694,-892.6,10.2973/odp.proc.sr.165.030.2000,10.2973/odp.proc.sr.165.017.2000,"10.1594/PANGAEA.441587,10.1594/PANGAEA.803256",,MarineSediment,alkenone,alkenone,UK37,"BAY: SST calculated from Uk37 (TSid=RYfbsh7Nj6W) using the BAYSPLINE program UK_predict. Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,690,164970,450,0.88,Temp12k,"DSK, PMS, AdV",fails resolution but chronology is good and it is a rare record from low latitude,http://lipdverse.org/globalHolocene/0_54_0/165_1002C.Herbert.2000.html,,,
MD95_2015.Marchal.2002,MD95_2015,Atlantic Ocean>North Atlantic Ocean,58.7623,-25.959,-2630,10.1016/S0277-3791(01)00105-6,,10.1594/PANGAEA.438814,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,"8,9,10",winterOnly,positive,690,10980,90,1.07,Temp12k,"RSV, AdV, DSK, JET",,http://lipdverse.org/globalHolocene/0_54_0/MD95_2015.Marchal.2002.html,,,
MD03_2611.Calvo.2007,MD03_2611,Indian Ocean,-36.73,136.55,-2420,10.1029/2007GL029937,10.1038/ngeo1431,www.ncdc.noaa.gov/paleo/study/6421,,MarineSediment,isotope,d18O,bulloides,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=16.4255, prior_std=10, species=bulloides, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.48788) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,684,30601,321,1.41,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/MD03_2611.Calvo.2007.html,,,
MD03_2611.Calvo.2007,MD03_2611,Indian Ocean,-36.73,136.55,-2420,10.1029/2007GL029937,10.1038/ngeo1431,www.ncdc.noaa.gov/paleo/study/6421,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,684,30113,325,1.41,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/MD03_2611.Calvo.2007.html,,,
