growth.form,pos.arg,neg.arg
encrusting,encrusting,NA
massive_columnar_submassive,massive|column|cuneiform|vase|organ|pipe|submassive|phaceloid|fascicu,sub
branching,arbor|staghorn|hispidose|branching|hyspidose|thin|thick|bush|bottle|caespitose|thicket|corymbose|digit,stout
branching_stout,stout|clump|frond|club|blade,NA
table_plate_laminar,table|plate|sheet|laminar|whorl,NA
unknown,unknown|wrong|no photo|missing|solitary,NA
,,
,,
,,
,,
,,
,,
,,
,Ï,
